year,month,day,tempHigh,tempAvg,tempLow,DPHigh,DPAvg,DPLow,humidityHigh,humidityAvg,humidityLow,SLPHigh,SLPAvg,SLPLow,visibilityHigh,visibilityAvg,visibilityLow,windAvg,Rainfall
2012,1,1,28,23,19,18,14,10,88,57,34,1015,1012,1010,6,5,4,5,0
2012,1,2,26,22,18,17,15,13,88,65,47,1015,1013,1012,4,3,2,2,0
2012,1,3,27,22,17,20,17,16,94,71,54,1014,1012,1010,5,4,4,6,0
2012,1,4,26,23,20,18,17,15,83,66,51,1015,1013,1010,4,3,1,3,0
2012,1,5,26,23,19,18,17,16,88,71,57,1016,1014,1012,4,3,1,3,0
2012,1,6,27,22,18,19,17,15,94,75,48,1016,1015,1013,4,3,2,2,0
2012,1,7,26,22,18,18,17,15,94,73,51,1018,1016,1015,4,2,1,2,0
2012,1,8,26,22,18,19,18,16,94,79,61,1018,1016,1014,4,3,2,3,0
2012,1,9,26,22,18,18,18,16,94,75,54,1015,1014,1013,4,3,0,8,0
2012,1,10,26,22,18,18,16,14,94,68,47,1015,1014,1013,6,4,2,6,0
2012,1,11,25,21,18,19,17,16,94,74,57,1017,1014,1013,4,3,2,8,0
2012,1,12,23,20,18,17,16,12,88,72,64,1016,1013,1011,4,2,1,14,0
2012,1,13,21,18,16,14,11,8,77,63,43,1016,1014,1013,4,3,2,10,0
2012,1,14,21,18,16,13,10,7,77,58,43,1014,1012,1010,4,3,2,8,0
2012,1,15,23,19,15,13,12,10,88,63,44,1014,1011,1008,4,3,1,8,0
2012,1,16,24,18,13,12,10,8,82,57,38,1012,1009,1007,4,3,1,8,0
2012,1,17,25,19,13,15,12,9,88,66,36,1011,1009,1008,4,3,1,3,0
2012,1,18,26,20,14,19,16,13,94,74,44,1012,1010,1008,4,3,1,2,0
2012,1,19,25,20,15,18,16,14,100,75,53,1011,1010,1009,4,3,0,5,0
2012,1,20,23,20,18,19,18,16,100,87,69,1013,1011,1010,4,2,0,5,0
2012,1,21,25,21,18,19,18,17,100,82,65,1013,1011,1010,4,2,0,5,0
2012,1,22,23,20,17,16,11,8,88,53,38,1015,1013,1012,4,3,1,13,0
2012,1,23,24,19,14,13,12,11,88,60,44,1015,1013,1011,4,3,2,10,0
2012,1,24,24,20,16,13,12,10,82,61,44,1015,1012,1011,4,3,2,8,0
2012,1,25,24,18,13,12,11,10,94,61,41,1015,1013,1011,4,3,1,5,0
2012,1,26,26,20,14,14,12,10,82,61,36,1015,1012,1010,4,3,2,3,0
2012,1,27,14,13,13,12,12,12,94,91,88,1013,1013,1012,2,2,2,3,0
2012,1,28,27,21,15,13,8,4,88,45,23,1015,1012,1010,4,4,2,6,0
2012,1,30,27,24,22,14,11,7,53,43,30,1014,1012,1011,5,4,4,18,0
2012,1,31,25,21,17,16,11,5,78,53,28,1016,1014,1012,5,4,4,5,0
2012,2,1,27,21,15,13,9,6,88,46,26,1016,1014,1012,4,3,1,6,0
2012,2,2,26,21,16,12,7,3,77,42,23,1017,1015,1013,4,4,4,6,0
2012,2,3,25,22,18,12,11,9,68,51,36,1013,1012,1011,4,4,4,10,0
2012,2,4,27,21,15,16,12,8,82,56,36,1014,1012,1010,4,3,1,3,0
2012,2,5,28,21,15,17,13,11,88,60,35,1014,1012,1010,4,3,1,3,0
2012,2,6,29,22,15,15,11,6,88,51,25,1014,1012,1010,4,3,1,3,0
2012,2,7,29,22,16,16,14,9,94,57,40,1013,1011,1010,4,3,1,5,0
2012,2,8,30,24,19,17,15,11,78,56,35,1012,1010,1008,4,3,2,5,0
2012,2,9,29,23,18,20,16,9,88,65,29,1011,1010,1008,5,4,1,3,0
2012,2,10,26,22,19,18,15,12,94,62,44,1013,1011,1010,4,3,1,13,0
2012,2,11,26,22,19,15,9,4,78,44,24,1015,1012,1010,5,5,4,11,0
2012,2,12,27,20,14,12,8,2,77,40,20,1016,1013,1011,4,4,3,8,0
2012,2,13,28,23,18,11,8,2,64,37,20,1015,1013,1011,4,4,2,10,0
2012,2,14,30,23,17,14,9,5,68,43,22,1014,1012,1010,5,4,2,3,0
2012,2,15,31,24,18,18,14,9,78,55,25,1013,1010,1008,5,4,2,3,0
2012,2,16,32,26,20,19,17,14,83,57,40,1013,1010,1008,4,3,1,11,0
2012,2,17,32,26,20,18,16,13,73,53,31,1012,1010,1008,4,4,4,5,0
2012,2,18,30,24,18,18,15,11,94,53,31,1013,1011,1009,4,4,1,11,0
2012,2,19,30,25,20,16,12,8,78,45,25,1013,1010,1008,5,4,3,10,0
2012,2,20,29,23,17,16,12,9,72,49,30,1012,1010,1008,5,4,2,5,0
2012,2,21,29,23,17,18,14,9,88,56,29,1010,1009,1007,4,3,2,3,0
2012,2,22,28,22,17,22,19,15,94,75,54,1010,1008,1006,4,4,4,3,0
2012,2,23,28,23,19,22,20,17,94,77,61,1010,1008,1006,4,4,2,5,0
2012,2,24,31,24,18,21,19,17,94,72,46,1011,1008,1006,4,3,0,5,0
2012,2,25,32,26,19,19,17,16,94,64,40,1009,1007,1006,5,4,2,3,0
2012,2,26,31,26,21,23,18,12,94,65,31,1008,1006,1004,5,4,2,3,0
2012,2,27,30,25,20,21,20,18,94,72,55,1010,1007,1004,4,3,0,3,0
2012,2,28,30,25,20,24,16,5,94,61,20,1007,1005,1004,5,4,1,6,0
2012,2,29,27,23,20,22,21,19,94,81,69,1008,1006,1004,5,4,2,13,0
2012,3,1,28,26,23,24,23,21,89,82,70,1010,1007,1006,5,5,4,11,0
2012,3,2,28,26,23,23,22,21,94,84,70,1009,1006,1004,5,4,4,6,0
2012,3,3,25,23,22,22,21,20,94,87,83,1007,1005,1004,5,4,4,10,0
2012,3,4,27,23,21,23,21,19,94,82,65,1009,1008,1006,5,5,4,5,0
2012,3,5,28,24,21,24,22,19,94,81,69,1009,1007,1006,4,4,2,6,0
2012,3,6,28,26,23,24,22,21,94,82,74,1008,1006,1005,5,5,4,13,0
2012,3,7,28,26,24,23,23,22,89,83,74,1006,1004,1003,5,5,4,13,0
2012,3,8,29,26,23,24,23,21,94,79,62,1007,1005,1004,5,5,4,11,0
2012,3,9,29,27,24,24,22,20,94,77,62,1008,1006,1004,5,5,4,6,0
2012,3,10,30,27,24,23,22,19,94,76,55,1010,1008,1006,5,4,1,5,0
2012,3,11,34,28,22,20,17,15,83,53,36,1011,1009,1008,5,4,4,8,0
2012,3,12,34,28,22,17,13,7,73,41,20,1013,1011,1008,5,5,4,3,0
2012,3,13,33,27,21,22,15,7,83,50,20,1013,1011,1010,4,4,4,2,0
2012,3,14,32,28,23,21,18,14,88,58,33,1012,1010,1009,4,4,4,3,0
2012,3,15,31,26,22,21,19,15,94,61,38,1061,1014,1009,4,3,1,6,0
2012,3,16,30,25,20,21,17,13,83,59,40,1013,1010,1008,5,5,4,6,0
2012,3,17,31,27,23,21,17,12,88,56,31,1011,1009,1008,5,4,2,5,0
2012,3,18,30,26,21,23,19,16,88,67,48,1012,1010,1007,5,5,4,5,0
2012,3,19,30,27,24,24,22,20,100,73,58,1011,1009,1007,5,4,4,5,0
2012,3,20,30,27,23,24,23,21,89,78,62,1011,1009,1007,5,5,4,10,0
2012,3,21,31,27,23,25,23,20,94,79,55,1010,1008,1006,5,5,4,6,0
2012,3,22,31,28,25,25,24,22,94,78,58,1010,1008,1006,5,5,4,10,0
2012,3,23,29,27,24,24,23,22,94,79,70,1011,1010,1008,5,4,2,8,0
2012,3,24,31,27,24,24,23,22,89,76,62,1012,1009,1007,5,5,4,5,0
2012,3,25,30,27,23,25,23,22,94,81,66,1012,1010,1008,5,4,1,5,0
2012,3,26,29,26,23,24,23,22,94,83,70,1013,1011,1009,5,5,4,3,0
2012,3,27,30,27,23,25,24,22,94,81,70,1013,1011,1010,5,4,1,6,0
2012,3,28,30,27,23,25,23,22,94,78,66,1014,1012,1010,5,5,4,6,0
2012,3,29,29,27,25,25,24,23,89,80,74,1013,1010,1008,5,5,2,10,0
2012,3,30,30,27,24,24,23,21,89,78,66,1011,1009,1007,6,5,4,8,0
2012,3,31,31,27,24,26,23,21,84,73,58,1012,1010,1007,5,5,2,5,0
2012,4,1,35,30,25,24,21,18,84,58,36,1010,1009,1006,4,4,4,10,0
2012,4,2,32,28,25,26,22,2,94,71,15,1013,1010,1007,4,4,2,6,0
2012,4,3,31,28,26,26,24,22,89,77,66,1014,1011,1008,5,4,1,5,0
2012,4,4,31,28,26,26,25,24,94,78,70,1013,1010,1007,5,4,1,5,0
2012,4,5,31,28,26,25,24,23,89,79,66,1011,1009,1007,5,4,4,13,0
