Station,Year,Month,High temp,Low temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
Barisal,1995,1,24.9,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,1995,2,27.7,15,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,8,3,0,0,0,21,6,0,0,7,,,
Barisal,1995,3,33,19.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,1995,4,34.1,25,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barisal,1995,5,33.7,26.5,0,0,0,0,0,5,0,0,0,0,0,1,0,11,9,47,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,1995,6,31.5,25.9,0,0,0,69,49,4,17,20,45,2,0,11,134,17,0,0,0,95,0,23,21,52,24,22,34,1,4,0,2,11,
Barisal,1995,7,30.9,25.1,4,64,40,0,40,31,0,0,0,13,10,2,2,7,32,7,59,6,4,2,6,42,22,28,0,0,25,57,3,0,11
Barisal,1995,8,31.9,25.5,21,0,19,33,4,3,2,3,38,27,0,10,29,53,0,8,1,8,1,25,47,0,7,1,0,2,0,0,0,0,0
Barisal,1995,9,31.8,25.1,0,0,22,4,10,8,3,0,1,63,0,1,0,0,0,0,24,29,0,5,0,0,0,8,3,9,7,0,9,2,
Barisal,1995,10,32,23.9,1,0,0,0,0,40,22,0,36,0,0,2,0,0,0,0,0,27,27,1,0,0,0,0,0,0,0,0,0,0,0
Barisal,1995,11,29,19.5,2,0,0,0,0,0,0,0,9,81,34,0,0,0,0,0,0,1,0,2,0,0,0,0,9,15,0,0,0,0,
Barisal,1995,12,27.3,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,1996,1,25.8,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,1996,2,29.2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,0,5,0,0,0,,
Barisal,1996,3,33.1,22.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0
Barisal,1996,4,34.1,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,16,7,7,0,16,70,
Barisal,1996,5,34.3,25.3,25,0,0,0,0,0,0,1,0,0,0,9,0,0,15,6,0,0,0,0,0,0,0,0,0,0,4,0,0,1,37
Barisal,1996,6,32.1,25.2,0,0,56,14,1,0,0,27,31,2,0,12,0,0,0,0,0,0,23,69,107,25,13,9,20,31,1,0,1,4,
Barisal,1996,7,32,25.7,41,0,3,58,0,28,5,6,14,1,15,0,0,11,13,11,0,0,0,0,0,4,5,12,4,33,13,7,2,0,28
Barisal,1996,8,30.5,25.3,12,3,5,20,18,8,36,10,9,0,12,0,0,0,0,5,6,7,4,45,37,27,9,0,0,0,0,1,13,35,0
Barisal,1996,9,33,25.3,1,0,0,23,13,4,0,0,0,8,1,0,0,0,0,0,64,0,3,0,8,31,0,0,0,0,3,24,2,17,
Barisal,1996,10,32.3,23,0,0,3,12,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,98,137,1,0
Barisal,1996,11,30.3,18.3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barisal,1996,12,27.1,13.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,1997,1,25.6,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Barisal,1997,2,27.5,14.6,18,0,0,8,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Barisal,1997,3,32.4,21.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,32,1,0,0,0,0,0,4,29
Barisal,1997,4,31.4,20.7,0,0,33,11,0,3,4,0,18,23,1,0,50,16,0,1,1,0,0,0,0,0,0,0,0,7,4,7,22,2,
Barisal,1997,5,33.4,24.2,0,0,0,0,0,16,0,0,0,0,18,0,0,0,0,0,0,0,1,16,0,0,5,56,9,17,37,30,11,19,0
Barisal,1997,6,33.2,25.3,0,1,34,0,3,0,0,15,1,0,0,10,0,23,0,0,0,2,0,7,3,3,0,0,1,1,12,30,24,35,
Barisal,1997,7,31.5,25.4,0,20,0,40,0,0,0,13,4,17,14,23,8,48,0,1,0,0,3,13,79,10,10,14,11,0,0,49,5,2,22
Barisal,1997,8,31.9,25.8,13,5,2,0,2,29,0,0,1,1,2,8,5,38,0,2,0,0,0,3,12,6,7,3,9,2,0,0,11,20,10
Barisal,1997,9,31.7,24.6,2,4,7,5,0,17,14,10,4,11,3,3,1,1,6,0,0,2,0,0,38,0,0,6,4,12,183,14,6,25,
Barisal,1997,10,32.4,22,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barisal,1997,11,30.8,18.9,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Barisal,1997,12,25.7,13.4,0,0,0,0,0,0,0,0,0,2,6,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
