year,month,day,temp high,temp avg,temp low,DP high,DP avg,DP low,humidity high,humidity avg,humidity low,SLP high,SLP avg,SLP low,visibility high,visibility avg,visibility low,wind high,wind avg,wind high,Rainfall,,
2008,1,1,24,21,18,17,15,12,83,65,47,1015,1013,1011,5,4,1,19,8,-,0, ,
2008,1,2,26,22,19,18,17,16,88,76,54,1016,1014,1012,5,4,1,11,2,-,0, ,
2008,1,3,25,21,18,16,16,13,88,62,47,1017,1014,1006,5,4,0,19,10,-,0,Fog,
2008,1,4,26,23,20,17,16,15,83,65,54,1016,1014,1013,5,5,4,14,11,-,0, ,
2008,1,5,26,21,17,17,15,14,88,67,47,1017,1015,1012,5,4,1,23,11,-,0, ,
2008,1,6,25,20,16,19,16,13,94,72,57,1016,1014,1012,6,4,2,19,10,-,0, ,
2008,1,7,25,22,20,18,16,14,83,66,50,1017,1014,1012,5,5,4,14,11,-,0, ,
2008,1,8,25,22,19,17,16,15,88,72,54,1016,1014,1012,5,4,2,14,8,-,0, ,
2008,1,9,25,21,17,17,16,15,88,70,54,1015,1013,1011,5,4,1,19,5,-,0, ,
2008,1,10,27,22,17,19,17,13,94,73,44,1015,1012,1010,5,3,1,14,5,-,0,Fog,
2008,1,11,26,21,17,19,16,12,94,72,42,1015,1013,1011,4,3,1,14,6,-,0,Fog,
2008,1,12,26,22,18,17,16,11,88,67,39,1014,1012,1011,5,3,1,14,5,-,0,Fog,
2008,1,13,26,22,18,18,16,15,88,71,54,1016,1013,1011,5,4,2,14,6,-,0, ,
2008,1,14,27,21,16,17,13,4,94,66,27,1015,1013,1010,6,4,2,19,5,-,0, ,
2008,1,15,24,19,15,15,11,7,94,59,34,1016,1014,1012,5,4,1,16,5,-,0,Fog,
2008,1,16,24,20,17,16,13,11,88,61,47,1016,1014,1012,4,3,1,23,8,-,0, ,
2008,1,17,24,20,17,18,16,15,94,72,57,1016,1013,1011,3,2,0,14,8,-,0,Fog,
2008,1,18,25,20,16,18,17,15,94,77,54,1014,1011,1009,3,2,0,14,10,-,0,Fog,
2008,1,19,16,-,16,16,16,16,100,100,100,1010,1010,1010,0,0,0,0,0,-,0,Fog,
2008,1,20,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0, ,
2008,1,21,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0, ,
2008,1,22,26,22,19,19,17,15,94,68,54,1013,1010,1008,5,3,1,19,14,-,0,Fog,
2008,1,23,27,21,16,24,15,12,88,70,42,1013,1010,1008,5,4,2,14,10,-,0, ,
2008,1,24,25,21,17,17,16,15,94,72,57,1020,1011,1008,5,4,2,14,6,-,0, ,
2008,1,25,23,20,17,17,16,14,88,74,61,1012,1010,1009,6,5,4,19,14,-,0, ,
2008,1,26,21,19,17,17,16,15,94,88,78,1012,1010,1008,5,3,1,27,14,-,0,"Rain , Thunderstorm",
2008,1,27,20,18,17,16,16,15,88,85,78,1013,1011,1009,7,5,4,16,13,-,0,Rain,
2008,1,28,22,18,15,15,13,10,94,66,52,1014,1012,1010,6,4,1,23,11,-,0,Fog,
2008,1,29,22,19,16,14,11,7,82,60,40,1013,1010,1009,5,4,3,13,5,-,0, ,
2008,1,30,24,19,15,15,12,8,88,59,36,1011,1009,1007,5,4,3,13,10,-,0, ,
2008,1,31,20,19,18,16,14,13,88,74,68,1012,1010,1008,4,3,2,10,6,-,0,Rain,
2008,2,1,20,19,17,12,9,7,64,54,49,1012,1012,1010,5,5,4,26,19,-,0, ,
2008,2,2,22,18,14,10,8,6,63,53,38,1015,1012,1010,5,4,4,23,13,-,0, ,
2008,2,3,22,19,16,14,10,7,88,55,40,1013,1011,1010,5,5,2,14,10,-,0, ,
2008,2,4,24,19,15,14,11,8,88,61,36,1014,1012,1010,5,4,2,14,6,-,0, ,
2008,2,5,24,19,17,14,12,11,82,60,44,1015,1014,1013,5,3,3,13,10,-,0, ,
2008,2,6,26,22,19,17,14,13,83,60,44,1013,1011,1010,5,4,4,16,8,-,0, ,
2008,2,7,28,23,18,18,16,15,88,67,48,1013,1011,1009,5,4,3,11,3,-,0, ,
2008,2,8,26,23,20,20,18,16,88,70,57,1011,1011,1009,5,4,1,14,6,-,0, ,
2008,2,9,27,23,20,20,19,17,88,76,58,1012,1011,1009,6,5,4,19,6,-,0,Rain,
2008,2,10,22,20,19,21,19,18,94,91,88,1013,1011,1010,4,3,2,27,11,-,0,Rain,
2008,2,11,25,22,19,18,14,11,94,64,47,1015,1013,1012,7,5,0,23,18,-,0,Fog,
2008,2,12,24,21,19,14,11,6,68,50,31,1015,1013,1011,6,5,3,23,13,-,0, ,
2008,2,13,23,20,17,13,9,5,77,52,33,1016,1013,1012,6,5,3,19,11,-,0, ,
2008,2,14,24,22,19,9,7,4,49,40,27,1018,1015,1012,7,5,4,45,18,-,0, ,
2008,2,15,23,19,15,12,8,5,64,47,31,1017,1014,1012,6,5,3,23,6,-,0, ,
2008,2,16,24,20,17,15,11,7,78,54,34,1016,1014,1012,5,4,2,10,2,-,0, ,
2008,2,17,25,20,16,18,13,10,88,63,39,1016,1013,1011,5,4,2,10,3,-,0, ,
2008,2,18,24,20,16,20,16,10,94,74,49,1015,1013,1011,6,4,2,10,5,-,0, ,
2008,2,19,25,22,19,20,19,18,94,79,65,1017,1014,1011,6,4,1,11,5,-,0, ,
2008,2,20,25,21,18,14,13,11,68,56,44,1017,1015,1012,6,5,5,27,14,-,0, ,
2008,2,21,27,23,19,16,12,9,68,48,34,1017,1014,1012,7,6,5,23,14,-,0, ,
2008,2,22,27,23,19,16,15,13,83,62,45,1015,1013,1012,7,5,4,14,6,-,0, ,
2008,2,23,28,23,18,18,16,13,83,64,39,1015,1013,1011,5,4,3,14,6,-,0, ,
2008,2,24,27,23,19,20,16,13,88,65,42,1013,1011,1009,5,4,3,14,5,-,0, ,
2008,2,25,28,23,19,21,18,16,94,75,48,1012,1010,1009,5,4,1,14,10,-,0, ,
2008,2,26,27,23,21,22,18,13,89,67,42,1013,1011,1009,5,4,2,19,5,-,0, ,
2008,2,27,28,26,23,21,18,16,83,63,48,1015,1013,1011,5,4,1,19,10,-,0, ,
2008,2,28,28,23,19,17,11,4,88,48,24,1015,1012,1010,6,5,3,23,11,-,0, ,
2008,2,29,28,24,22,20,16,14,78,57,42,1012,1009,1007,5,5,4,14,6,-,0, ,
2008,3,1,28,24,22,21,18,17,88,68,54,1012,1010,1007,5,3,1,11,5,-,0,Fog,
2008,3,2,27,23,20,20,18,16,88,69,51,1013,1012,1011,5,4,2,19,3,-,0, ,
2008,3,3,23,22,22,21,21,20,94,90,83,1014,1013,1013,0,0,0,0,0,-,0,Fog,
2008,3,4,28,24,21,21,18,14,94,68,45,1013,1010,1008,6,5,0,23,10,-,0,Fog,
2008,3,5,29,26,22,21,16,10,94,61,30,1015,1012,1009,8,5,0,40,13,-,0,Fog,
2008,3,6,28,24,21,21,17,13,88,61,39,1014,1012,1010,5,5,4,14,5,-,0, ,
2008,3,7,29,26,23,23,21,18,94,72,51,1014,1012,1010,5,4,1,14,5,-,0,Fog,
2008,3,8,28,24,22,22,21,19,94,80,61,1013,1011,1008,6,4,3,19,6,-,0, ,
2008,3,9,29,26,22,22,21,18,94,78,54,1013,1011,1008,5,3,1,14,6,11,0, ,
2008,3,10,28,24,22,23,21,19,94,76,58,1013,1010,1008,5,4,1,16,5,-,0, ,
2008,3,11,28,26,23,24,22,21,94,82,70,1012,1009,1007,5,4,0,11,3,-,0,Fog,
2008,3,12,30,27,23,23,21,19,94,72,51,1011,1009,1008,4,3,0,14,3,-,0,Fog,
2008,3,13,28,24,22,23,21,17,89,75,66,1011,1009,1008,5,4,4,13,5,-,0, ,
2008,3,14,28,26,23,25,23,22,94,86,79,1012,1010,1008,16,5,0,11,3,-,0,Fog,
2008,3,15,28,26,24,24,23,22,94,83,70,1011,1008,1006,1,1,1,13,5,-,0, ,
2008,3,16,33,29,25,24,21,13,94,64,33,1011,1008,1006,6,5,4,16,10,-,0, ,
2008,3,17,31,28,25,24,21,18,94,66,46,1009,1007,1005,5,4,2,11,3,-,0, ,
2008,3,18,29,27,24,23,22,21,89,76,66,1010,1007,1005,5,4,0,14,6,-,0,Fog,
2008,3,19,28,27,25,23,22,21,83,76,70,1010,1008,1005,8,7,3,13,11,-,0, ,
2008,3,20,28,27,25,24,22,19,84,73,61,1009,1007,1004,7,5,4,19,6,-,0, ,
2008,3,21,29,27,26,25,23,20,94,78,58,1009,1008,1006,7,6,5,19,11,-,0, ,
2008,3,22,29,27,26,24,23,22,84,75,66,1010,1008,1006,7,6,4,19,14,-,0, ,
2008,3,23,30,28,25,25,23,22,94,80,66,1011,1009,1007,8,5,4,29,10,-,0,Rain,
2008,3,24,30,28,25,23,22,21,89,73,62,1011,1009,1006,5,4,4,14,6,-,0, ,
2008,3,25,30,28,25,24,21,16,83,66,43,1011,1008,1007,9,6,4,19,8,-,0, ,
2008,3,26,30,27,24,24,22,21,94,75,62,1010,1008,1006,7,6,4,19,6,-,0, ,
2008,3,27,30,27,24,24,23,22,94,78,66,1009,1007,1005,7,6,5,14,11,-,0, ,
