Station,Year,Month,High temp,Low temp,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,Month_Total
Barisal,1995,1,24.9,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Barisal,1995,2,27.7,15,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,8,3,0,0,0,21,6,0,0,7,,,,62
Barisal,1995,3,33,19.5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Barisal,1995,4,34.1,25,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,12
Barisal,1995,5,33.7,26.5,0,0,0,0,0,5,0,0,0,0,0,1,0,11,9,47,58,13,0,0,0,0,0,0,0,0,0,0,0,0,0,144
Barisal,1995,6,31.5,25.9,0,0,0,69,49,4,17,20,45,2,0,11,134,17,0,0,0,95,0,23,21,52,24,22,34,1,4,0,2,11,,657
Barisal,1995,7,30.9,25.1,4,64,40,0,40,31,0,0,0,13,10,2,2,7,32,7,59,6,4,2,6,42,22,28,0,0,25,57,3,0,11,517
Barisal,1995,8,31.9,25.5,21,0,19,33,4,3,2,3,38,27,0,10,29,53,0,8,1,8,1,25,47,0,7,1,0,2,0,0,0,0,0,342
Barisal,1995,9,31.8,25.1,0,0,22,4,10,8,3,0,1,63,0,1,0,0,0,0,24,29,0,5,0,0,0,8,3,9,7,0,9,2,,208
Barisal,1995,10,32,23.9,1,0,0,0,0,40,22,0,36,0,0,2,0,0,0,0,0,27,27,1,0,0,0,0,0,0,0,0,0,0,0,156
Barisal,1995,11,29,19.5,2,0,0,0,0,0,0,0,9,81,34,0,0,0,0,0,0,1,0,2,0,0,0,0,9,15,0,0,0,0,,153
Barisal,1995,12,27.3,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhola,1995,1,25.2,11.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bhola,1995,2,27.8,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,21,0,0,0,5,0,0,0,10,,,,52
Bhola,1995,3,32.8,19.8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5
Bhola,1995,4,34.1,24.7,0,0,0,0,0,0,0,0,43,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,50
Bhola,1995,5,33,26.7,0,0,0,0,0,30,0,0,0,0,0,0,1,1,3,75,52,11,0,0,0,0,0,0,0,0,0,0,0,0,0,173
Bhola,1995,6,31.5,26.4,0,0,0,16,101,14,1,1,12,4,0,14,103,13,0,0,0,62,54,29,7,28,18,20,5,3,0,0,0,26,,531
Bhola,1995,7,30.6,26,8,128,6,5,31,30,0,0,0,1,1,6,29,13,2,1,30,19,2,0,2,24,16,10,0,0,7,23,0,3,2,399
Bhola,1995,8,31.6,26.3,24,1,19,52,5,4,0,3,12,3,3,10,28,12,0,0,0,29,0,18,19,0,0,0,0,0,0,20,0,18,1,281
Bhola,1995,9,31.3,26,0,20,57,7,13,14,6,0,0,7,0,0,0,0,0,0,32,104,0,0,0,0,0,2,22,7,5,0,8,0,,304
Bhola,1995,10,32.2,24.7,0,0,0,0,3,1,15,1,28,0,0,0,0,0,0,0,0,1,10,0,0,1,0,0,0,0,0,0,0,0,0,60
Bhola,1995,11,29.2,20.6,0,1,0,0,0,0,0,9,0,71,38,0,0,0,0,0,0,10,6,0,0,0,0,0,19,28,0,0,0,0,,182
Bhola,1995,12,27.5,14.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogra,1995,1,24,10.7,0,0,0,0,0,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
Bogra,1995,2,26.4,14.4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,9,0,0,0,0,,,,18
Bogra,1995,3,31,18.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,7,3,14
Bogra,1995,4,35.7,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Bogra,1995,5,35.2,25.7,0,0,0,0,0,0,1,0,10,0,27,0,0,0,1,13,13,14,0,0,10,5,5,12,0,0,0,0,0,0,0,111
Bogra,1995,6,32.6,26.6,0,0,0,0,5,69,5,29,1,0,0,0,0,4,0,0,46,38,166,53,10,1,5,3,3,0,0,13,0,11,,462
Bogra,1995,7,31.4,26.1,0,7,15,133,25,39,63,36,1,5,55,0,0,0,0,36,30,1,4,4,3,0,1,3,3,2,11,30,2,10,5,524
Bogra,1995,8,31.9,26.4,3,4,0,54,62,12,1,1,3,9,0,10,87,62,19,2,1,1,40,29,0,3,0,0,2,0,2,1,0,30,0,438
Bogra,1995,9,32,26.1,0,0,2,19,11,15,0,6,12,0,0,0,0,0,0,0,8,114,13,28,0,18,26,0,0,24,12,42,107,20,,477
Bogra,1995,10,32.1,24.3,0,0,3,0,0,0,0,0,41,0,0,0,0,0,0,0,0,39,0,0,24,10,0,0,0,0,0,0,0,0,0,117
Bogra,1995,11,29.6,19.1,0,1,0,0,0,0,0,0,0,46,17,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,70
Bogra,1995,12,26.4,13.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Chandpur,1995,1,24.2,12.8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Chandpur,1995,2,27.1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,7,0,0,0,0,,,,25
Chandpur,1995,3,32.3,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chandpur,1995,4,34.5,24,0,0,0,0,0,0,0,0,26,8,0,2,6,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,,51
Chandpur,1995,5,33.4,25.9,0,0,0,0,0,7,0,0,0,0,0,0,1,0,8,75,61,18,0,0,0,5,2,0,0,0,0,0,0,0,0,177
Chandpur,1995,6,32.1,26.1,0,0,0,0,1,22,0,0,6,0,2,0,44,5,0,0,0,53,72,13,56,29,11,22,12,0,3,0,1,0,,352
Chandpur,1995,7,31.1,25.7,10,30,14,11,48,34,0,0,0,0,24,1,1,1,30,24,1,6,0,2,0,11,30,5,0,12,10,59,19,16,31,430
Chandpur,1995,8,32,26.1,11,0,3,72,0,0,5,0,29,0,3,3,73,50,0,5,4,14,52,93,47,1,1,0,0,0,0,0,6,16,0,488
Chandpur,1995,9,31.8,26,0,16,29,0,16,0,0,0,0,11,35,2,0,0,6,0,21,38,9,0,0,0,0,1,44,8,3,0,0,0,,239
Chandpur,1995,10,31.9,25.2,5,0,0,0,0,13,12,0,11,0,0,6,19,3,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,77
Chandpur,1995,11,28.6,21,6,3,0,0,0,0,0,0,7,86,64,16,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,187
Chandpur,1995,12,26.2,15.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong,1995,1,26,13.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittagong,1995,2,27.7,16.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,4,0,0,0,,,,12
Chittagong,1995,3,32,20.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,6,18
Chittagong,1995,4,32.8,24.4,16,0,0,0,0,2,0,18,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,51
Chittagong,1995,5,33.1,27.2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,89,143,29,0,0,0,1,2,0,0,0,0,0,0,0,0,268
Chittagong,1995,6,32.3,26.2,0,0,0,0,4,0,6,6,0,3,3,90,43,5,0,3,0,36,0,8,79,5,1,35,14,2,12,4,0,0,,359
Chittagong,1995,7,31.2,25.7,2,155,24,79,15,7,0,0,0,0,1,0,10,0,5,60,136,1,0,0,0,65,4,3,0,0,0,4,0,60,54,685
Chittagong,1995,8,31.7,25.9,1,14,6,31,2,1,0,0,0,1,3,18,247,116,3,2,1,5,0,28,35,0,0,1,25,3,0,0,3,0,0,546
Chittagong,1995,9,31.9,25.9,0,0,6,43,3,23,9,0,1,5,0,0,0,0,0,0,0,12,0,0,0,0,12,5,3,6,0,1,0,0,,129
Chittagong,1995,10,32.6,25.1,0,0,0,1,0,4,6,7,16,0,0,0,6,0,0,0,0,0,9,1,0,1,0,0,0,0,0,0,0,0,2,53
Chittagong,1995,11,29.2,21.8,9,113,1,2,0,0,0,0,2,2,88,16,0,0,0,0,0,0,18,6,0,0,0,0,18,48,0,0,0,0,,323
Chittagong,1995,12,27.3,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chuadanga,1995,1,23.7,9.8,0,0,0,0,0,0,0,0,10,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15
